Name_Matrix,Energy_Matrix,Type_Matrix
Not Used,0,Other
TS Epoxy,113.3,Matrix
TS Unsaturated polyester with styrene,96.3,Matrix
TS Phenol,76.2,Matrix
TS Polyurethane,92.75,Matrix
TS Vinyl ester with styrene,101.9,Matrix
TP Polystyrene,82.6,Matrix
TP Polypropylene,75.8,Matrix
TP Nylon 6,117.31,Matrix
TP Nylon 66,140.75,Matrix
TP PEEK,288,Matrix
Calcium Carbonate,6.24,Filler
Kaolin Clay,16.9,Filler
Magnesium Oxide,7.28,Additive
Polyvinyl acetate,58.2,Additive
Steel,115,Insert
Aluminum,297.5,Insert
Titanium,560,Insert
SMC GFRP,34,Insert
HDPE,111.5,Insert
PVC,79.5,Insert
TP Polypropylene,75.8,Insert
Polyurethane Foam,105,Insert
